Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Betel leaves & nuts,30 each
Sandalwood Powder,Small Tin
Flowers,2 Bunches
Incense Sticks (Agarbathi),1 Packet
Fruits (any variety),25
Dry dates,1 Packet
Coconuts,10
Dry Coconut Pieces (Copra),8
Milk,1 Gallon
Navadhanyas,Small Packets Seperately
Pradhana Kalasas,3 (big)
Upa Kalasas,9 (Small)
Iron Pan (Bandlee),1
Sesame Oil,2 lbs
Ghee,1lb
Dhotis (9x5),2
Towels,6
Blouse Pieces,4 (1 Pattu)
Coconuts,10
Rice,10 lbs
Mixed Navadhanyams,1lbs
Photo of Lord Shiva,1
Sand,5 lbs
Coins,$20 (Quarters)
White Thread Reel,1
Aluminium trays,4 Big size
"Panchamrutam (milk, yogurt, ghee, honey, Sugar)",
"Panchagavyam (cow’s Dung, Urine, Milk, Yogurt, Ghee) ",
"Gold, Silver, Copper, Coral, Pagadam – Small Pieces Mangalyam",
"God’s Picture, Nadaswaram Cassette",
New Clothes,
"Deeparadhana Samagri (Deepam, Oil, Wicks, Match Box) ",
"Paper Towels, Disposable Glasses, Spoons, One Plate, Scissors, Mango Leaves, Cotton",
