Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Betel leaves & nuts,20
Sandalwood powder,Small Tin
Flowers,2 Bunches
Incense Sticks (Agarbathi),1 Packet
Fruits (Any Variety),12
Kalasam,1
Flower String Mala (Jasmine or any),1 Box
Towel,1
Blouse Piece,1
New blouse piece,1
Coconuts,2
Rice,3 Lbs
Coins,$5(Quarters)
"Deeparadhana Samagri (Deepam, Oil, Wicks, Match Box)",
"Book, Pen, Pencil, Slate, White Chalk, Paper Towels, Scissor, Disposable, Glasses, Spoons, One Plate",
