Name of the item,Quantity
Turmeric powder,One small packet
Kumkum,One small packet
Betel leaves,15
Betel nuts,20
Sandalwood powder,small tin
Camphor,1 Packet
Incense sticks (Agarbathi),1 Packet
Fruits (any variety),12
Coconuts,5
Rice,2 lbs
Milk,small qty
Mixed navadhanyams,1 lb
"Gold, silver, copper, coral, Pagadam",small pieces
Kalasam,1
Vastram for kalasam,1 towel & blouse piece
Sweets,1 packet
Water,1 bottle
Shovel,1
Bricks,9
Coins,$20 (Quarters)
Nava ratnams,
Flowers,
"Deeparadhana samagri (Deepam, oil, wicks, Match box)",
God's photo,
"Napkins,tumbler, plate, spoon",
