Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Sandalwood powder,Small Tin
Betel leaves & nuts,40 each
Flowers,3 Bunches
Incense Sticks (Agarbathi),1 Packet
Fruits (Any Variety),20
Flower String Mala (Jasmine or any),1 Box
Rice,3 lbs
Kalasam,1
Aluminum trays,2 Big and small size
Sand,5 lbs
Dry Coconut Pieces (Copra),12
Ghee,1 lb
Honey,Small Bottle
Pomegranate fruits,2
Camphor,Small Packet
Small Pumpkin,1
White Betel Nuts,Small Packet
Bananas,12
Guava fruits,3
White Towel,1
Blouse Piece,1
Coconuts,2
Naivedyam (any variety),
"Deeparadhana Samagri (Deepam, Oil, Wicks, Match Box)",
"Paper Towels, Disposable Glasses, Spoons, One Plate, Scissors",
