Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Sandalwood powder,Small Tin
Betel leaves & nuts,30 each
Flowers,2 Bunches
Incense Sticks (Agarbathi),1 Packet
Fruits (Any Variety),25
Flower String Mala (Jasmine or any),1 Box
Limes,12
Red and White Pumpkins,1 each
Milk,1 Gallon
Navadhanyas,Small Packets Separately
Kalasam,1
Towel,1
Blouse Piece,1
Coconuts,8 (Depends upon Rooms)
Rice,3 lbs
Coins,$10 (Quarters)
New Pot for Boiling Milk,
"God’s Picture, Nadaswaram Cassette, Jasmine String Mala",
"Deeparadhana Samagri (Deepam, Oil, Wicks, Match Box)",
Prasadam as per family tradition,
"Paper Towels, Disposable Glasses, Spoons, One Plate, Knife, Scissors, Mango Leaves",
