Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Sandalwood powder,Small Tin
Betel leaves & nuts,20 each
Flowers,2 Bunches
Incense Sticks (Agarbathi),1 Packet
Fruits (Any Variety),12
Flower String Mala (Jasmine or any),1 Box
Kalasam,1
Towel,1
Blouse Piece,1
Coconuts,2
Rice,3 lbs
Coins,$5 (Quarters)
"Milk, Honey",small Qty
Naivedyam (any variety),
"Deeparadhana Samagri (Deepam, Oil, Wicks, Match Box)",
"Paper Towels, Scissors,Disposable Glasses,Bowl,Spoon",
One Big Plate (to Write the name),
