Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Betel leaves & nuts,15 each
Sandalwood Powder,Small Tin
Flowers,2 Bunches
Incense Sticks (Agarbathi),1 Packet
Camphor,small pkt
Rice,2 lbs
Fruits,12 bananas and other fruits
Coconuts,4
Ghee,small bottle
Aluminum tray,1 Big size
Dry coconuts pieces (copra),4
Seemantam saree,1
Milk,small quantity
Flower garlands,2
Coins,$15 (Quarters)
Vastram for kalasam,1 towel & blouse piece
Kalasam,1
Homa samagri,1 packet
Cooked rice,1 small cup
Sand,4 lb
"Napkins,tumbler, spoon, and plate",
"Deeparadhana samagri (Deepam, oil, wicks & Match Box)",
