Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Betel leaves & nuts,30 each
Sandalwood Powder,Small Tin
Flowers,4 Bunches
Incense Sticks (Agarbathi),1 Packet
Fruits (Any Variety),25
Navadhanyas,Small Packets Seperately
Kalasam,1
Towel,1
Flower String Mala (Jasmine or any),1 Box
Blouse Piece,1
Coconuts,2
Rice,3 lbs
Coins,$10 (Quarters)
"Panchamrutam (Milk, Yogurt, Ghee, Honey, Sugar)",Small Qty
"Deeparadhana Samagri (Deepam, Oil, Wicks, Match Box)",
Prasadam as per family tradition,
Satyanarayana Swamy Picture,
Small Idol For Abhishekam (Vishnu / Krishna / Satyanarayana Swamy),
"Paper Towels, Disposable Glasses, Spoons, One Plate, Scissors",
