Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Betel leaves & nuts,30 each
Sandalwood Powder,Small Tin
Flowers,4 Bunches
Incense Sticks (Agarbathi),1 Packet
Fruits (Any Variety),25
Dry coconut pieces (copra),8
Milk,1 Gallon
Navadhanyas,Small Packets Separately
Kalasam,1
Towels,6
Blouse Piece,4
Dhoties (9x5),2
Lungees,2
Yagnopaveetam,3 Pairs
Coconuts,8
Rice,3 lbs
Coins,$20 (Quarters)
Silver Bowl (Bhiksha Patra),1
Earthen plates,6
Earthen pots,5
Mustard seeds,50 grams
Lime paste (chunnam),1 Tin
Husk,1/2 lbs
Aluminium Tray,4 Big size
"God’s Picture, Nadaswaram Cassette",
Ring and Ear Rings,
"Deeparadhana Samagri (Deepam, Oil, Wicks, Match Box)",
