Name of the item,Quantity
Turmeric powder,Small Packet
Kumkum,Small Packet
Betel leaves & nuts,20 each
Sandalwood Powder,Small Tin
Flowers,2 Bunches
Incense Sticks (Agarbathi),1 Packet
Fruits (Any Variety),20
Garlands for Bride and Groom,2
Rice for Talambralu,4 lbs
Rice,3 lbs
Kalasam,1
Green Coconut,2
Dry Coconut Pieces (Copra),8
Turmeric Roots,Small Packet
Paste of Jaggery and Jeera,Small Qty
"Milk, Yogurt And Honey",Small Qty
Panneeru Bottle,1
Thread Reel,1
Lime Paste (Sunnam),1
Towels,4
Blouse Piece,4
Coins,$20 (Quarters)
"Umbrella, handstick, shoes, hand fan, mirror, bashikam, eyetex",
Chamki garlands,
Sweet packet,
Sindhur,
Madhu Parkam (New Clothes for Bride & Groom),
Ring,
Wedding Card,
Silver Sacred Thread,
Scent Bottle,
Black Beads and Gold Ball,
Mangalyams and Toe Rings,
"Deeparadhana Samagri (Deepam, Oil, Wicks, Match Box)",
"Paper Towels, Disposable Glasses, Spoons, One Plate, Scissors, Milk, Yogurt, Mango Leaves, Cotton",
